repo,path,action,ref,pinned_sha,version,egress_policy,allowed_endpoints_count,disable_sudo,disable_telemetry,policy_store,self_hosted,runs_on,secure_repo_marker
1Password/sys-locale,.github/workflows/ci.yml,harden-runner,b09bb98e06d4d774595224525879c09bc6e98c40,true,v2.20.1,audit,0,false,false,false,false,${{ matrix.triple.os }},false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-toolchain,40a2f87e50bed6faa2d050e99810b226b75d8c8a,true,v1.0.7,,,,,,false,${{ matrix.triple.os }},false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-cargo,34f23e8d4bb3618bc5485c3341f2bf88024fc4dc,true,v1.0.1,,,,,,false,${{ matrix.triple.os }},false
1Password/sys-locale,.github/workflows/ci.yml,harden-runner,b09bb98e06d4d774595224525879c09bc6e98c40,true,v2.20.1,audit,0,false,false,false,false,${{ matrix.os }},false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-toolchain,40a2f87e50bed6faa2d050e99810b226b75d8c8a,true,v1.0.7,,,,,,false,${{ matrix.os }},false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-cargo,34f23e8d4bb3618bc5485c3341f2bf88024fc4dc,true,v1.0.1,,,,,,false,${{ matrix.os }},false
1Password/sys-locale,.github/workflows/ci.yml,harden-runner,b09bb98e06d4d774595224525879c09bc6e98c40,true,v2.20.1,audit,0,false,false,false,false,macos-latest,false
1Password/sys-locale,.github/workflows/ci.yml,harden-runner,b09bb98e06d4d774595224525879c09bc6e98c40,true,v2.20.1,audit,0,false,false,false,false,ubuntu-latest,false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-toolchain,40a2f87e50bed6faa2d050e99810b226b75d8c8a,true,v1.0.7,,,,,,false,ubuntu-latest,false
1Password/sys-locale,.github/workflows/ci.yml,harden-runner,b09bb98e06d4d774595224525879c09bc6e98c40,true,v2.20.1,audit,0,false,false,false,false,ubuntu-latest,false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-toolchain,40a2f87e50bed6faa2d050e99810b226b75d8c8a,true,v1.0.7,,,,,,false,ubuntu-latest,false
1Password/sys-locale,.github/workflows/ci.yml,harden-runner,b09bb98e06d4d774595224525879c09bc6e98c40,true,v2.20.1,audit,0,false,false,false,false,ubuntu-latest,false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-toolchain,40a2f87e50bed6faa2d050e99810b226b75d8c8a,true,v1.0.7,,,,,,false,ubuntu-latest,false
1Password/sys-locale,.github/workflows/ci.yml,actions-rs-cargo,34f23e8d4bb3618bc5485c3341f2bf88024fc4dc,true,v1.0.1,,,,,,false,ubuntu-latest,false
1Password/sys-locale,.github/workflows/ci.yml,harden-runner,b09bb98e06d4d774595224525879c09bc6e98c40,true,v2.20.1,audit,0,false,false,false,false,ubuntu-latest,false
Addepar/ember-classy-page-object,.github/workflows/ci.yml,harden-runner,9af89fc71515a100421586dfdb3dc9c984fbf411,true,v2.19.4,audit,0,false,false,false,false,ubuntu-latest,false
Addepar/ember-classy-page-object,.github/workflows/ci.yml,harden-runner,9af89fc71515a100421586dfdb3dc9c984fbf411,true,v2.19.4,audit,0,false,false,false,false,ubuntu-latest,false
